,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
0,20000.0,2,2,1,24,0.0,689.0,0.0,0.0,0.0,0.0,1
1,120000.0,2,2,2,26,0.0,1000.0,1000.0,1000.0,0.0,2000.0,1
2,90000.0,2,2,2,34,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0,0
3,50000.0,2,2,1,37,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0,0
4,50000.0,1,2,1,57,2000.0,36681.0,10000.0,9000.0,689.0,679.0,0
5,50000.0,1,1,2,37,2500.0,1815.0,657.0,1000.0,1000.0,800.0,0
6,500000.0,1,1,2,29,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0,0
7,100000.0,2,2,2,23,380.0,601.0,0.0,581.0,1687.0,1542.0,0
8,140000.0,2,3,1,28,3329.0,0.0,432.0,1000.0,1000.0,1000.0,0
9,20000.0,1,3,2,35,0.0,0.0,0.0,13007.0,1122.0,0.0,0
10,200000.0,2,3,2,34,2306.0,12.0,50.0,300.0,3738.0,66.0,0
11,260000.0,2,1,2,51,21818.0,9966.0,8583.0,22301.0,0.0,3640.0,0
12,630000.0,2,2,2,41,1000.0,6500.0,6500.0,6500.0,2870.0,0.0,0
13,70000.0,1,2,2,30,3200.0,0.0,3000.0,3000.0,1500.0,0.0,1
14,250000.0,1,1,2,29,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0
15,50000.0,2,3,3,23,0.0,1500.0,1100.0,1200.0,1300.0,1100.0,0
16,20000.0,1,1,2,24,3200.0,0.0,1500.0,0.0,1650.0,0.0,1
17,320000.0,1,1,1,49,10358.0,10000.0,75940.0,20000.0,195599.0,50000.0,0
18,360000.0,2,1,1,49,0.0,0.0,0.0,0.0,0.0,0.0,0
19,180000.0,2,1,2,29,0.0,0.0,0.0,0.0,0.0,0.0,0
20,130000.0,2,3,2,39,3000.0,1537.0,1000.0,2000.0,930.0,33764.0,0
21,120000.0,2,2,1,39,316.0,316.0,0.0,632.0,316.0,0.0,1
22,70000.0,2,2,2,26,2007.0,3582.0,0.0,3601.0,0.0,1820.0,1
23,450000.0,2,1,1,40,19428.0,1473.0,560.0,0.0,0.0,1128.0,1
24,90000.0,1,1,2,23,5757.0,0.0,5398.0,1200.0,2045.0,2000.0,0
25,50000.0,1,3,2,23,1973.0,1426.0,1001.0,1432.0,1062.0,997.0,0
26,60000.0,1,1,2,27,0.0,1000.0,0.0,500.0,0.0,1000.0,1
27,50000.0,2,3,2,30,1300.0,1300.0,1000.0,1500.0,1000.0,1012.0,0
28,50000.0,2,3,1,47,3415.0,3421.0,2044.0,30430.0,257.0,0.0,0
29,50000.0,1,1,2,26,1500.0,1500.0,1000.0,1000.0,1600.0,0.0,0
30,230000.0,2,1,2,27,17270.0,13281.0,15339.0,14307.0,37292.0,0.0,0
31,50000.0,1,2,2,33,1718.0,1500.0,1000.0,1000.0,1000.0,716.0,1
32,100000.0,1,1,2,32,3023.0,3511.0,3302.0,3204.0,3200.0,2504.0,0
33,500000.0,2,2,1,54,4152.0,22827.0,7521.0,71439.0,981.0,51582.0,0
34,500000.0,1,1,1,58,5006.0,31178.0,3180.0,0.0,5293.0,768.0,0
35,160000.0,1,1,2,30,131.0,396.0,396.0,565.0,792.0,0.0,0
36,280000.0,1,2,1,40,8026.0,8060.0,6300.0,6400.0,6400.0,6737.0,0
37,60000.0,2,2,2,22,1500.0,1518.0,2043.0,0.0,47671.0,617.0,0
38,50000.0,1,1,2,25,780.0,0.0,0.0,0.0,0.0,0.0,1
39,280000.0,1,1,2,31,9075.0,0.0,9976.0,8000.0,9525.0,781.0,0
40,360000.0,1,1,2,33,10000.0,7000.0,6000.0,188840.0,28000.0,4000.0,0
41,70000.0,2,1,2,25,3000.0,4500.0,4042.0,2500.0,2800.0,2500.0,0
42,10000.0,1,2,2,22,1500.0,2927.0,1000.0,300.0,1000.0,500.0,0
